STANDARD_VALUE,ALogP,ALogp2,AMR,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,MW,AMW
16,-1.1922,1.42134084,62.236,0,0,0,2,0,0,368.3191493,5.497300736
24,1.5166,2.30007556,92.8052,0,0,0,2,0,0,424.2878492,6.239527193
26,-2.3442,5.49527364,73.8824,0,0,0,2,0,0,424.3817495,5.37192088
32,-0.9042,0.81757764,59.3244,0,0,0,2,0,0,354.3034992,5.535992175
37,-1.7682,3.12653124,68.0592,0,0,0,2,0,0,396.3504494,5.429458211
300,0.2478,0.06140484,47.678,0,0,0,2,0,0,374.2721991,6.036648372
700,0.2478,0.06140484,47.678,0,0,0,2,0,0,374.2721991,6.036648372
2000,0.7156,0.51208336,57.9966,0,0,0,2,0,0,324.256549,5.790295518
3400,0.7156,0.51208336,57.9966,0,0,0,2,0,0,324.256549,5.790295518
3700,-0.3282,0.10771524,53.5012,0,0,0,2,0,0,326.2721991,5.625382743
10000,0.2478,0.06140484,47.678,0,0,0,2,0,0,374.2721991,6.036648372
12000,0.0815,0.00664225,48.3405,1,1,1,3,0,0,314.2358136,5.928977615
14000,-0.0402,0.00161604,50.5896,0,0,0,2,0,0,312.256549,5.6773918
17000,0.2478,0.06140484,47.678,0,0,0,2,0,0,298.240899,5.735401903
19000,0.1169,0.01366561,58.7215,1,1,1,3,0,0,342.2671137,5.80113752
20000,0.2301,0.05294601,42.4875,0,0,0,2,0,0,284.2252489,5.800515284
24000,-0.6162,0.37970244,56.4128,0,0,0,2,0,0,340.2878492,5.57848933
83176.38,0.5743,0.32982049,105.0882,2,2,2,2,1,1,343.2875148,5.5368954
77624.71,0.2387,0.05697769,108.6309,4,4,3,4,2,2,466.3559287,5.829449109
50118.72,0.5736,0.32901696,116.7011,3,3,2,3,0,0,402.3610141,5.364813521
75,-1.6964,2.87777296,44.1663,3,3,3,3,0,0,191.0979998,6.589586199
392,-1.7987,3.23532169,38.4696,3,3,3,3,0,0,253.1136498,7.030934718
368,-1.1567,1.33795489,43.9717,3,3,3,3,0,0,267.1292999,6.849469229
458,-0.2425,0.05880625,57.5964,3,3,3,3,0,0,309.1762501,6.441171877
318,-1.0544,1.11175936,44.0852,3,3,3,3,0,0,287.0746775,7.974296597
90,-0.3101,0.09616201,49.7008,3,3,3,3,0,0,321.0357051,8.917658476
185,-1.1386,1.29640996,42.3596,3,5,5,6,0,0,298.0987281,7.84470337
192,-1.1386,1.29640996,42.3596,3,5,5,6,0,0,298.0987281,7.84470337
1150,-1.1386,1.29640996,42.3596,3,5,5,6,0,0,298.0987281,7.84470337
7079.46,1.3185,1.73844225,128.9897,4,4,3,4,1,1,440.3402786,5.793951035
20417.38,0.9076,0.82373776,109.3927,2,2,2,2,1,1,358.3347993,5.269629402
61659.5,1.3347,1.78142409,141.8837,6,6,5,6,2,2,500.361408,5.956683429
28840.32,0.4614,0.21288996,105.58,3,3,2,3,1,1,450.3610141,5.70077233
50118.72,1.7138,2.93711044,151.0352,7,7,6,7,1,1,542.3719727,6.094067109
251188.64,0.8875,0.78765625,113.4338,3,3,3,3,1,1,373.2980795,5.656031507
5248.07,1.6532,2.73307024,138.5273,5,5,4,5,1,1,484.3664934,5.835740884
181970.09,1.2052,1.45250704,139.6262,6,6,5,6,2,2,502.3770581,5.841593699
69183.1,0.4713,0.22212369,111.0044,3,3,2,3,1,1,388.345364,5.393685612
