STANDARD_VALUE,ALogP,ALogp2,AMR,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,MW,AMW
14.13,-1.3112,1.71924544,53.0216,4,6,6,6,1,1,413.1773127,7.378166299
0.49,-1.8054,3.25946916,59.4283,4,4,4,5,1,1,416.2099928,7.054406657
8800,-1.6793,2.82004849,46.175,6,6,6,6,2,3,408.2062448,7.421931723
240,-1.9558,3.82515364,57.6555,6,6,6,6,2,3,450.253195,7.035206171
120,-2.2438,5.03463844,60.5671,6,6,6,6,2,3,464.268845,6.929385747
3100,-1.6793,2.82004849,46.175,6,6,6,6,2,3,332.1749446,7.381665436
220,-2.2114,4.89028996,53.2037,6,6,6,6,2,3,360.2062448,7.062867544
9.4,-1.9558,3.82515364,57.6555,6,6,6,6,2,3,374.2218948,6.930035089
70,-2.2438,5.03463844,60.5671,6,6,6,6,2,3,388.2375449,6.811184998
33.88,-4.4084,19.43399056,154.6474,6,8,6,8,0,0,750.602307,5.686381113
676.08,-4.2544,18.09991936,130.4082,6,8,6,8,0,0,666.5084066,5.84656497
204.17,-3.6192,13.09860864,122.1068,4,6,6,6,0,0,640.5179087,5.618578146
112.2,-2.1614,4.67164996,135.5954,6,6,4,6,0,0,702.4406326,6.271791363
4570.88,-1.4538,2.11353444,137.2334,6,12,10,6,0,0,770.4933466,6.529604632
4.57,-0.8654,0.74891716,57.7362,4,4,4,4,0,0,418.2056563,7.21044235
42.66,-0.685,0.469225,60.7537,4,5,5,7,0,0,445.2001563,7.420002606
16.6,-5.0756,25.76171536,140.9658,4,4,2,6,0,0,692.5968277,5.49680022
33.11,-1.5161,2.29855921,49.7851,4,4,4,4,2,2,425.2467126,6.749947819
30.2,-1.0925,1.19355625,52.6702,2,4,4,4,0,0,365.1990937,6.76294618
0.794,-1.1359,1.29026881,56.6245,1,3,3,3,0,0,402.2671137,6.285423652
5754.4,-4.2544,18.09991936,130.4082,6,8,6,8,0,0,666.5084066,5.84656497
19.5,-4.871,23.726641,141.1928,4,4,2,6,0,0,732.4875828,6.10406319
72.44,-4.3546,18.96254116,149.4054,6,8,6,8,0,0,722.5710068,5.734690531
11.75,-4.1634,17.33389956,142.8308,4,10,8,6,0,0,800.5402968,6.353494419
48.98,-3.65,13.3225,124.3642,6,6,4,6,0,0,634.5185774,5.665344441
77.62,-6.3288,40.05370944,127.7042,2,4,4,6,0,0,670.5648588,5.496433269
56.23,-2.366,5.597956,135.3684,6,6,4,6,0,0,662.5498775,5.61482947
37.15,-6.3596,40.44451216,129.9616,4,4,2,6,0,0,664.5655275,5.538046063
18.2,-3.8538,14.85177444,157.993,6,8,6,8,0,0,750.602307,5.686381113
3200,-2.0625,4.25390625,60.7817,2,3,3,3,0,0,316.2514636,5.750026612
5900,-4.5548,20.74620304,66.8974,0,0,0,2,0,0,258.3034992,4.612562486
350,-2.8173,7.93717929,70.8613,3,4,4,4,1,1,360.2776784,5.810930297
1100,-2.5293,6.39735849,67.9497,3,4,4,4,1,1,346.2620283,5.868847938
2300,-2.2852,5.22213904,63.8326,3,4,4,4,1,1,332.2463783,5.93297104
22.91,-1.4303,2.04575809,60.509,3,3,3,3,1,1,376.2514636,6.270857727
39.81,-1.3472,1.81494784,59.0633,3,4,4,4,1,1,378.2307282,6.521219452
3.63,-1.6215,2.62926225,64.4875,4,4,3,4,0,0,402.2307282,6.70384547
2.51,-0.8654,0.74891716,57.7362,4,4,4,4,0,0,418.2056563,7.21044235
1.29,-0.8654,0.74891716,57.7362,4,4,4,4,0,0,418.2056563,7.21044235
4.9,-0.6008,0.36096064,62.4793,4,3,3,4,0,0,434.1761058,7.485794927
64.57,-1.3969,1.95132961,64.1795,4,4,4,5,0,0,430.2256428,6.939123271
125.89,-1.3969,1.95132961,64.1795,4,4,4,5,0,0,430.2256428,6.939123271
1.1,-1.8054,3.25946916,59.4283,4,4,4,5,1,1,416.2099928,7.054406657
8.71,-1.8054,3.25946916,59.4283,4,4,4,5,1,1,416.2099928,7.054406657
2.88,-0.685,0.469225,60.7537,4,5,5,7,0,0,445.2001563,7.420002606
15.85,-1.5591,2.43079281,69.3529,4,4,3,4,0,0,416.2463783,6.607085369
0.479,-0.9747,0.95004009,53.8707,3,5,4,5,0,0,389.2103271,6.950184413
5.04,-0.1292,0.01669264,71.3166,4,4,4,4,2,2,514.2224891,7.346035558
11.64,-2.593,6.723649,67.0766,4,6,5,6,3,3,473.267842,6.760969171
17.38,-7.118,50.665924,160.2448,4,6,4,8,0,0,780.6492572,5.576066123
8.13,-6.5634,43.07821956,163.5904,4,6,4,8,0,0,780.6492572,5.576066123
58000,-1.7829,3.17873241,109.0735,7,9,9,9,3,3,514.2202827,7.242539193
99000,-1.6793,2.82004849,94.4419,7,7,7,7,3,3,454.1991533,7.20951037
26,0.3297,0.10870209,102.0648,6,7,7,7,2,2,466.1991533,7.28436177
101000,-1.6793,2.82004849,94.4419,8,8,8,8,3,3,455.1944023,7.341845198
35000,-1.6793,2.82004849,94.4419,8,8,8,8,3,3,455.1944023,7.341845198
7900,-1.6793,2.82004849,94.4419,8,8,8,8,3,3,455.1944023,7.341845198
70000,-1.7311,2.99670721,101.7577,7,8,8,8,3,3,484.209718,7.227010716
80000,-1.1456,1.31239936,100.5441,8,8,8,8,3,3,489.1554299,7.889603708
6480,0.1159,0.01343281,18.1543,1,3,3,3,0,0,186.0316941,9.301584703
72.1,-2.528,6.390784,91.8877,6,9,7,9,3,3,520.2685703,7.030656355
51.6,-2.5854,6.68429316,74.8621,6,9,7,9,3,3,464.20597,7.487193064
89.2,-2.3372,5.46250384,79.5615,6,9,7,9,3,3,478.2216201,7.357255693
365,-1.6516,2.72778256,72.2732,4,7,6,7,2,2,435.2158064,7.134685351
135,-2.24,5.0176,88.9761,6,9,7,9,3,3,506.2529202,7.13032282
17,-2.9132,8.48673424,85.3847,6,9,7,9,3,3,506.2529202,7.13032282
5.08,-3.9782,15.82607524,82.4154,5,8,6,8,3,3,561.3202715,6.682384184
18.2,-3.2012,10.24768144,88.2963,6,9,7,9,3,3,520.2685703,7.030656355
8.39,-3.104,9.634816,97.7109,6,9,7,9,3,3,548.2998704,6.85374838
5.24,-3.7772,14.26723984,94.1195,6,9,7,9,3,3,548.2998704,6.85374838
386,-1.7488,3.05830144,62.8586,4,7,6,7,2,2,407.1845063,7.40335466
59,-2.816,7.929856,94.7993,6,9,7,9,3,3,534.2842203,6.938756108
3560,0.7395,0.54686025,50.174,4,5,4,5,1,1,427.2259772,7.003704544
3310,0.4711,0.22193521,34.5078,3,4,3,4,1,1,392.1291556,8.002635828
2500,0.1017,0.01034289,52.3422,5,6,4,6,1,1,289.1426415,7.228566037
830,0.3888,0.15116544,41.359,4,5,4,5,3,3,323.1633769,7.181408376
387.5,0.691,0.477481,39.7762,4,6,5,6,1,1,265.0950226,7.796912429
330,-6.00E-04,3.60E-07,46.6455,5,6,4,6,1,1,351.1582915,7.471453011
245.3,0.7279,0.52983841,45.4618,4,5,4,5,1,1,413.2103271,7.124315985
160.8,0.8302,0.68923204,51.1585,4,5,4,5,1,1,351.194677,6.886170138
148,1.0974,1.20428676,60.3225,4,5,4,5,0,0,377.2103271,6.858369584
125,0.7204,0.51897616,55.8438,3,5,4,6,1,1,381.2052417,6.931004395
100,0.7328,0.53699584,27.0621,5,6,5,6,2,2,314.1179039,8.26626063
56.7,0.385,0.148225,46.8483,4,5,4,5,2,2,261.1477268,6.872308601
40,0.9247,0.85507009,46.6537,4,5,4,5,2,2,337.179027,7.024563062
17900,-1.1416,1.30325056,63.6905,3,4,3,4,1,1,340.2150781,6.419152418
350,-1.7574,3.08845476,84.3134,3,5,5,5,1,1,398.2569429,6.321538777
50,-3.4298,11.76352804,93.8973,6,8,7,8,1,1,566.2450579,7.259552025
8.11,0.1031,0.01062961,49.4144,3,4,3,4,1,1,278.1088988,7.516456725
17.3,-0.1811,0.03279721,46.2259,3,4,3,4,1,1,260.1524779,6.670576356
32,-0.7061,0.49857721,50.54,3,4,3,4,0,0,276.183778,6.276904046
41130,0.6372,0.40602384,44.4773,4,5,4,5,1,1,489.2416272,7.194729812
9887,0.9209,0.84805681,52.143,4,5,4,5,1,1,275.1633769,6.711301876
4300,0.9112,0.83028544,44.0535,4,6,5,6,1,1,355.1419728,7.556212187
40.7,-2.4882,6.19113924,84.2767,6,9,7,9,3,3,492.2372701,7.238783384
241,-2.6252,6.89167504,82.4731,6,9,7,9,3,3,492.2372701,7.238783384
5.65,-3.4892,12.17451664,91.2079,6,9,7,9,3,3,534.2842203,6.938756108
310,0.8582,0.73650724,53.543,2,5,5,5,0,0,429.1940083,7.274474718
62.1,0.1644,0.02702736,55.3567,2,6,6,6,0,0,445.188923,7.419815383
2270,-0.4685,0.21949225,49.187,2,5,5,5,0,0,415.1783583,7.413899255
1590,-0.3812,0.14531344,52.2498,2,5,5,5,0,0,429.1940083,7.274474718
520,-0.4069,0.16556761,65.5314,1,3,3,4,0,0,422.1789898,7.278948099
4.6,-1.1119,1.23632161,41.8979,1,3,3,4,0,0,418.1476896,7.743475734
2260,0.1644,0.02702736,55.3567,2,6,6,6,0,0,445.188923,7.419815383
303,0.268,0.071824,40.7251,2,4,4,4,0,0,385.1677936,7.407072954
18100,-0.4167,0.17363889,41.8712,2,4,4,4,0,0,385.1677936,7.407072954
122,0.8582,0.73650724,53.543,2,5,5,5,0,0,429.1940083,7.274474718
281,-0.4301,0.18498601,37.6314,3,4,4,4,1,2,370.1681279,7.403362559
40,-1.1948,1.42754704,56.5159,1,3,3,4,0,0,396.1633397,7.336358142
540,-0.4044,0.16353936,52.0451,1,3,3,4,0,0,368.1320396,7.669417491
280,-0.7708,0.59413264,47.1762,1,3,3,4,0,0,356.1320396,7.577277438
110,-0.9068,0.82228624,53.6043,1,3,3,4,0,0,382.1476896,7.493091953
3100,-0.4685,0.21949225,49.187,2,5,5,5,0,0,415.1783583,7.413899255
163,0.268,0.071824,40.7251,2,4,4,4,0,0,385.1677936,7.407072954
1780,0.11,0.0121,46.153,3,4,3,4,1,1,334.1681279,7.109960169
1230,-0.6316,0.39891856,47.956,2,5,5,5,0,0,415.1783583,7.413899255
19580,-2.2126,4.89559876,56.8469,1,3,3,4,1,1,412.1946398,6.986349827
2570,-1.3486,1.81872196,50.7082,1,3,3,4,0,0,370.1476896,7.402953793
30300,-0.3828,0.14653584,39.6158,2,5,5,5,0,0,389.1627082,7.483898235
49.3,-0.3232,0.10445824,54.3332,3,6,6,6,1,1,445.188923,7.419815383
10000,-1.6395,2.68796025,55.7498,0,2,2,3,0,0,396.1997252,6.831029745
32,-1.1693,1.36726249,70.7405,1,6,6,8,0,0,473.1746326,7.631848914
366,0.8582,0.73650724,53.543,2,5,5,5,0,0,429.1940083,7.274474718
30,-1.1521,1.32733441,53.9259,2,4,4,5,0,0,386.1426042,7.571423613
1000,-1.1007,1.21154049,53.8863,3,5,5,6,0,0,476.1531689,7.935886149
2500,0.1338,0.01790244,23.0842,3,4,3,4,1,1,256.1211778,7.317747936
1875,-1.221,1.490841,25.8829,2,3,2,4,1,1,271.1446528,6.952426996
26.1,-0.4339,0.18826921,54.9417,3,4,3,5,1,1,290.186852,6.448596711
25.4,-0.5362,0.28751044,49.245,3,4,3,5,1,1,352.2025021,6.77312504
14.6,0.1058,0.01119364,54.7471,3,4,3,5,1,1,366.2181521,6.658511857
145,0.0367,0.00134689,63.5128,3,4,3,5,1,1,394.2494523,6.463105775
300,0.2016,0.04064256,66.9801,3,4,3,5,1,1,484.2964025,6.544545979
10.5,-1.1386,1.29640996,50.8396,1,4,4,5,0,0,430.2018334,7.170030556
1090,0.7395,0.54686025,50.174,4,5,4,5,1,1,427.2259772,7.003704544
22.1,-0.2532,0.06411024,35.8569,4,5,4,5,3,3,309.1477268,7.360660163
10.9,-0.1509,0.02277081,41.5536,4,5,4,5,3,3,247.1320768,7.06091648
231,-0.2532,0.06411024,35.8569,4,5,4,5,3,3,309.1477268,7.360660163
1341.7,1.3327,1.77608929,47.4741,2,6,6,4,0,0,436.1962345,7.520624733
284.2,0.9105,0.82901025,62.578,4,6,6,4,0,0,401.227869,6.917721879
1819.7,-1.9964,3.98561296,46.0387,2,4,3,5,1,1,277.1552175,6.759883354
73.6,1.0281,1.05698961,40.6985,3,5,5,3,0,0,479.2173043,7.606623878
21,0.385,0.148225,46.8483,4,5,4,5,2,2,261.1477268,6.872308601
3203.7,1.2217,1.49255089,86.5543,5,7,6,5,0,0,474.223118,7.527351079
21,0.4654,0.21659716,57.3577,3,5,5,3,0,0,385.2329544,6.758472884
3560,0.7395,0.54686025,50.174,4,5,4,5,1,1,427.2259772,7.003704544
1072.8,0.3971,0.15768841,85.323,4,6,6,4,1,1,477.2591691,7.018517193
74.9,-0.8958,0.80245764,70.9024,4,7,6,7,1,1,528.2624223,7.043498963
119,-1.6171,2.61501241,99.9383,6,9,8,9,1,1,565.3151861,6.729942692
89.5,-1.5837,2.50810569,61.3323,5,8,7,8,1,1,579.2733213,7.240916516
139,-2.305,5.313025,90.3682,7,10,9,10,1,1,616.3260851,6.925012192
43,-1.4772,2.18211984,67.7696,4,7,6,7,2,2,436.199822,7.269997033
530,-2.0967,4.39615089,52.1438,3,4,3,4,1,2,290.1994281,6.174455916
3000,1.6068,2.58180624,76.8954,3,9,8,3,2,3,350.0853823,9.724593953
2000,1.1507,1.32411049,75.9629,3,6,5,3,2,3,296.1136478,8.225379104
47000,0.4511,0.20349121,51.4313,3,4,3,4,1,1,272.1524779,6.803811947
501.19,-0.2892,0.08363664,41.7853,2,2,2,2,0,0,246.0923762,7.690386755
3715.35,-1.0335,1.06812225,36.1697,2,2,2,2,0,0,212.1313485,6.629104641
158.49,-0.2892,0.08363664,41.7853,2,2,2,2,0,0,246.0923762,7.690386755
1513.56,-0.2892,0.08363664,41.7853,2,2,2,2,0,0,246.0923762,7.690386755
1698.24,-0.2892,0.08363664,41.7853,2,2,2,2,0,0,246.0923762,7.690386755
0.324,0.4073,0.16589329,49.3777,2,2,2,2,1,2,298.1236763,7.453091907
25118.86,1.4257,2.03262049,53.7456,5,4,3,5,1,1,462.0780943,9.060354791
1258.93,-1.4649,2.14593201,72.8038,6,5,4,6,2,2,653.2688163,7.508836969
1000,-2.3862,5.69395044,88.2322,8,8,8,8,2,2,766.262351,7.899611866
316.23,-0.6009,0.36108081,64.069,6,5,4,6,2,2,611.2218661,7.836177771
2511.89,-1.5222,2.31709284,79.4974,8,8,8,8,2,2,724.2154008,8.229720464
5600,-3.3601,11.29027201,68.8298,9,10,8,10,2,2,454.2328534,7.210045293
82.6,-0.2735,0.07480225,41.7515,3,5,4,5,1,1,378.1943427,7.003598939
0.32,-1.8434,3.39812356,60.363,4,7,6,7,1,1,502.2467722,7.0738982
12.4,-0.5265,0.27720225,52.1839,4,7,6,7,1,1,458.1841719,7.636402866
420,-0.2725,0.07425625,123.3399,7,10,10,10,2,2,556.2308474,7.318826939
390000,2.6529,7.03787841,69.3192,2,6,6,6,1,1,300.161997,6.821863568
210,0.187,0.034969,54.3684,4,7,6,7,1,1,456.1685219,7.864974515
3400,-0.1155,0.01334025,71.9799,3,4,3,4,0,0,344.2463783,6.039410145
6.8,-2.1314,4.54286596,63.2746,4,7,6,7,1,1,516.2624223,6.97651922
11.7,-2.4194,5.85349636,66.1862,4,7,6,7,1,1,530.2780723,6.886728212
60,0.0658,0.00432964,101.2359,6,7,7,7,2,2,468.2148034,7.094163687
5.4,-0.5373,0.28869129,47.0975,4,6,5,6,1,1,432.2049074,7.203415123
5.18,-2.2862,5.22671044,64.7264,4,4,4,4,2,2,444.3252973,6.086647908
3.52,-2.8622,8.19218884,70.5496,4,4,4,4,2,2,472.3565974,5.979197436
4.04,-2.5742,6.62650564,67.638,4,4,4,4,2,2,458.3409473,6.030801939
21.8,-2.7074,7.33001476,69.0978,4,7,6,7,1,1,544.2937224,6.80367153
2500,-0.0816,0.00665856,102.3249,7,8,8,8,2,2,484.209718,7.227010716
79.6,-0.2735,0.07480225,41.7515,3,5,4,5,1,1,328.1786926,6.837056096
7300,-1.2327,1.51954929,43.409,3,4,3,4,1,2,248.1524779,6.530328365
230,0.0011,1.21E-06,105.1672,8,9,9,9,1,1,510.1889825,7.614760933
24.7,0.1827,0.03337929,46.3525,3,5,4,5,1,1,418.2256428,6.856158079
90,0.3297,0.10870209,102.0648,6,7,7,7,2,2,466.1991533,7.28436177
952,-3.9677,15.74264329,77.9696,5,6,6,7,3,5,605.3967852,6.440391332
1000,-0.868,0.753424,76.4723,2,6,6,6,1,1,356.2245973,6.361153523
1000,-0.0693,0.00480249,39.4869,3,3,3,3,0,0,278.0942943,7.945551266
2847.5,0.8302,0.68923204,51.1585,4,5,4,5,1,1,351.194677,6.886170138
780.4,-6.00E-04,3.60E-07,46.6455,5,6,4,6,1,1,351.1582915,7.471453011
11223,0.7279,0.52983841,45.4618,4,5,4,5,1,1,413.2103271,7.124315985
5654.5,0.2827,0.07991929,41.1516,4,5,4,5,2,2,323.1633769,7.181408376
245.3,0.7279,0.52983841,45.4618,4,5,4,5,1,1,413.2103271,7.124315985
387.5,0.1017,0.01034289,52.3422,5,6,4,6,1,1,289.1426415,7.228566037
2193.5,0.385,0.148225,46.8483,4,5,4,5,2,2,261.1477268,6.872308601
0.42,-0.0206,4.24E-04,95.3143,5,5,5,5,2,2,593.3285241,6.819868093
0.89,-0.7353,0.54066609,83.1184,4,4,4,4,2,2,564.301975,6.881731402
1.89,-1.0233,1.04714289,86.03,4,4,4,4,2,2,578.3176251,6.803736765
1.33,-1.0233,1.04714289,86.03,4,4,4,4,2,2,578.3176251,6.803736765
6.84,-1.0233,1.04714289,86.03,4,4,4,4,2,2,578.3176251,6.803736765
3.53,-1.5993,2.55776049,91.8532,4,4,4,4,2,2,606.3489252,6.663175002
4.19,-1.8873,3.56190129,94.7648,4,4,4,4,2,2,620.3645752,6.599623141
0.74,0.009,8.10E-05,88.734,4,4,4,4,2,2,598.2630026,7.295890276
4.02,-0.279,0.077841,91.6456,4,4,4,4,2,2,612.2786527,7.203278267
2.04,-0.279,0.077841,91.6456,4,4,4,4,2,2,612.2786527,7.203278267
11.5,-0.279,0.077841,91.6456,4,4,4,4,2,2,612.2786527,7.203278267
0.31,0.7237,0.52374169,100.9299,5,5,5,5,2,2,627.2895517,7.210224733
1.32,-0.567,0.321489,94.5572,4,4,4,4,2,2,626.2943028,7.116980713
3.26,-0.855,0.731025,97.4688,4,4,4,4,2,2,640.3099528,7.036373108
9.09,-1.143,1.306449,100.3804,4,4,4,4,2,2,654.3256029,6.960910669
0.43,0.7424,0.55115776,44.5293,2,2,2,2,1,2,284.1080262,7.678595303
2000,-0.8452,0.71436304,39.995,5,5,5,5,1,2,285.1477268,7.128693171
3760,-1.2826,1.64506276,31.407,2,2,2,2,0,0,200.1313485,6.455849952
1,-0.2146,0.04605316,47.112,2,2,2,2,1,1,206.0435217,7.924750834
158,-0.5383,0.28976689,37.0226,2,2,2,2,0,0,234.0923762,7.551366973
500,-0.5383,0.28976689,37.0226,2,2,2,2,0,0,234.0923762,7.551366973
1500,-0.5383,0.28976689,37.0226,2,2,2,2,0,0,234.0923762,7.551366973
36.3,-2.2534,5.07781156,100.7084,6,8,6,8,2,2,706.4458063,6.422234603
6000,-0.5288,0.27962944,62.563,0,4,4,6,0,0,602.0809868,9.262784412
3720,-0.7066,0.49928356,25.5838,2,2,2,2,0,0,172.1000484,6.884001935
180,-0.346,0.119716,37.6027,0,2,2,3,0,0,399.1030937,8.314647784
1700,-0.5383,0.28976689,37.0226,2,2,2,2,0,0,234.0923762,7.551366973
3390,1.8713,3.50176369,37.1212,1,3,3,3,0,0,314.070972,8.488404649
3660,-0.9946,0.98922916,28.4954,2,2,2,2,0,0,186.1156984,6.64698923
1260,-0.5152,0.26543104,38.509,3,3,3,3,1,1,247.0876251,7.970568553
43900,0.6176,0.38142976,60.5789,3,4,3,4,1,1,320.1291556,7.444864084
9200,-1.5706,2.46678436,34.3186,2,2,2,2,0,0,214.1469986,6.298441135
52400,0.4511,0.20349121,51.4313,3,4,3,4,1,1,272.1524779,6.803811947
13510,-1.8586,3.45439396,37.2302,2,2,2,2,0,0,228.1626486,6.166558071
2.6,-1.6577,2.74796929,62.6167,3,4,4,4,1,1,443.2936628,6.332766611
952,-5.0395,25.39656025,67.3802,5,6,6,7,5,7,577.3654851,6.560971421
32600,-1.5979,2.55328441,40.5275,1,3,3,3,0,0,427.2511293,6.573094297
177000,-1.9653,3.86240409,60.5051,2,6,6,6,0,0,591.2984734,6.956452628
281000,-1.9135,3.66148225,53.1893,2,5,5,5,0,0,561.2879087,6.929480355
127000,-1.9135,3.66148225,53.1893,2,5,5,5,0,0,561.2879087,6.929480355
10500,-1.2197,1.48766809,51.3756,2,4,4,4,0,0,545.2929941,6.816162426
127000,-1.2197,1.48766809,51.3756,2,4,4,4,0,0,545.2929941,6.816162426
40700,-1.8617,3.46592689,45.8735,2,4,4,4,0,0,531.277344,6.899705767
17400,-1.8518,3.42916324,51.2979,2,4,4,4,0,0,469.261694,6.703738485
2000,-0.5948,0.35378704,44.2888,5,5,5,5,1,2,299.1633769,6.957287835
1800,-0.8828,0.77933584,47.2004,5,5,5,5,1,2,313.179027,6.808239717
2100,-0.0188,3.53E-04,38.4656,5,5,5,5,1,2,271.1320768,7.327893967
1800,-1.1332,1.28414224,42.9066,5,5,5,5,1,2,299.1633769,6.957287835
1900,-0.2692,0.07246864,34.1718,5,5,5,5,1,2,257.1164267,7.562247845
1000,-0.5572,0.31047184,37.0834,5,5,5,5,1,2,271.1320768,7.327893967
1610,-1.329,1.766241,58.1276,3,5,5,5,2,2,303.1470582,7.049931585
452000,-1.1196,1.25350416,55.7193,3,5,5,5,1,1,301.1314081,7.34466849
9010,-1.329,1.766241,58.1276,3,5,5,5,2,2,303.1470582,7.049931585
100,-0.9712,0.94322944,51.8657,2,4,4,4,2,2,273.1364935,7.003499833
3850,-1.8055,3.25983025,44.6931,1,3,3,4,0,0,265.0738932,8.550770749
3870,0.1884,0.03549456,31.4058,1,3,3,3,0,0,267.1259288,7.219619697
960,-0.7373,0.54361129,60.622,4,6,6,6,1,1,329.1263227,7.654100528
1430,-1.5071,2.27135041,46.571,2,4,4,4,3,3,259.1208434,7.197801206
2320,-0.8965,0.80371225,65.4064,5,7,7,7,2,2,347.1368874,7.546454074
155000,-1.1164,1.24634896,51.4705,3,5,5,5,2,2,287.115758,7.555677843
113000,-0.9483,0.89927289,72.7222,5,8,8,8,2,2,377.1474521,7.542949042
191100,1.9959,3.98361681,43.9602,1,1,1,1,0,0,216.1514153,6.004205979
81500,1.1541,1.33194681,42.7496,1,1,1,1,0,0,218.1670653,5.741238561
7,0.7051,0.49716601,58.0043,5,6,5,6,0,0,304.1423071,7.241483503
4.49,-2.2596,5.10579216,97.4793,8,8,7,8,3,3,605.3842091,6.580263143
84.8,-0.7317,0.53538489,73.4403,5,5,5,5,1,1,457.3205462,6.264665017
194,-1.9717,3.88760089,95.69,5,5,5,5,1,1,477.3831465,5.821745689
40.7,-2.2221,4.93772841,91.3962,5,5,5,5,1,1,463.3674964,5.865411347
70.3,-1.0685,1.14169225,74.9092,6,6,5,6,1,1,471.2998108,6.545830706
4.97,-2.3085,5.32917225,97.1589,6,6,5,6,1,1,491.3624111,6.066202606
14.9,-2.5589,6.54796921,92.8651,6,6,5,6,1,1,477.346761,6.119830269
51.7,-2.0116,4.04653456,87.3717,6,6,5,6,1,1,449.3154609,6.240492512
81100,-0.89,0.7921,63.5431,5,7,6,7,1,1,396.2161408,6.951160364
53100,-1.1967,1.43209089,56.8671,4,5,4,5,1,1,379.2259772,6.653087319
73500,-1.4471,2.09409841,52.5733,4,5,4,5,1,1,365.2103271,6.763154206
62800,-1.4989,2.24670121,59.8891,4,6,5,6,1,1,395.2208918,6.814153307
81400,-0.5878,0.34550884,60.5211,5,6,5,6,1,1,380.2212261,6.789664752
88500,-0.8382,0.70257924,56.2273,5,6,5,6,1,1,366.2055761,6.909539171
66,-0.1191,0.01418481,27.9616,2,2,2,2,1,2,276.0262105,9.51814519
3240,-0.8429,0.71048041,40.4486,3,4,3,4,1,2,234.1368278,6.689623652
200,-1.8426,3.39517476,36.2224,5,5,3,7,1,1,415.1770156,7.688463252
1350,-1.7332,3.00398224,44.4202,6,6,3,8,2,2,368.1722646,7.513719685
1100,-1.1895,1.41491025,43.2704,6,6,4,8,1,1,369.1562802,7.690755837
1600,-1.6309,2.65983481,50.1169,6,6,3,8,1,1,382.1879146,7.349767589
19500,-1.3101,1.71636201,23.0842,3,3,2,5,1,1,282.1242518,7.624979777
4000,-0.8706,0.75794436,28.8167,3,3,2,5,1,1,296.1399018,7.403497545
1100,-1.935,3.744225,35.9501,5,5,3,7,2,2,339.1457155,7.70785717
7100,-1.2078,1.45878084,28.7809,3,3,2,5,0,0,296.1399018,7.403497545
24000,-0.7683,0.59028489,34.5134,3,3,2,5,0,0,310.1555519,7.212919811
12600,-0.6741,0.45441081,34.8831,3,3,2,5,0,0,330.1009295,8.252523237
33600,-0.1097,0.01203409,35.2155,3,6,5,5,0,0,364.1272864,8.468076429
20500,-1.2596,1.58659216,36.0967,3,4,3,6,0,0,326.1504665,7.412510602
2500,-1.8327,3.35878929,41.6468,5,5,3,7,1,1,353.1613655,7.514071607
350,-1.3101,1.71636201,23.0842,3,3,2,5,1,1,282.1242518,7.624979777
4500,-1.935,3.744225,35.9501,5,5,3,7,2,2,339.1457155,7.70785717
27000,-1.5237,2.32166169,21.7687,3,2,1,4,1,2,190.098037,7.311462962
9500,-1.9632,3.85415424,16.0362,3,2,1,4,1,2,252.1136871,7.639808699
50000,-1.3101,1.71636201,23.0842,4,3,2,5,1,1,282.1242518,7.624979777
10,-0.4248,0.18045504,57.7663,3,3,3,3,0,0,362.2358136,6.355014273
11,-0.1744,0.03041536,62.0601,3,3,3,3,0,0,376.2514636,6.270857727
22,-0.7522,0.56580484,65.5921,3,3,3,3,0,0,390.2671137,6.194716091
8.6,-1.0564,1.11598096,63.7478,4,7,6,7,1,1,502.2467722,7.0738982
160,-1.6324,2.66472976,69.571,4,7,6,7,1,1,530.2780723,6.886728212
400,-2.2102,4.88498404,73.103,4,7,6,7,1,1,544.2937224,6.80367153
0.7,-0.7415,0.54982225,58.2152,4,7,6,7,1,1,474.2154721,7.295622647
100,-1.3569,1.84117761,68.9526,4,7,6,7,1,1,516.2624223,6.97651922
170,-1.9329,3.73610241,74.7758,4,7,6,7,1,1,544.2937224,6.80367153
1.00E+06,-0.4917,0.24176889,36.0903,5,5,5,5,1,1,284.1637113,6.930822226
13000,-1.2248,1.50013504,33.7816,4,4,4,4,1,1,282.1844467,6.562428993
85000,0.1503,0.02259009,41.5924,5,5,5,5,1,1,298.1793613,6.776803666
5400,-0.5828,0.33965584,39.2837,4,4,4,4,1,1,296.2000968,6.439132538
34000,0.8946,0.80030916,47.208,5,5,5,5,1,1,332.140389,7.548645204
1300,0.1615,0.02608225,44.8993,4,4,4,4,1,1,330.1611244,7.177415748
1000,-0.8855,0.78411025,46.7558,4,6,6,6,1,1,340.189926,6.942651551
440000,-0.9404,0.88435216,43.3671,6,6,6,6,2,2,314.1742759,6.981650577
1.00E+05,-0.457,0.208849,42.2889,6,6,6,6,1,1,309.1589602,7.360927624
740000,0.6064,0.36772096,42.5249,5,8,8,5,1,1,352.1510959,8.003433997
270000,-1.2416,1.54157056,40.3124,6,6,6,6,2,3,299.1746103,6.957549077
260000,-0.4917,0.24176889,36.0903,5,5,5,5,1,1,360.1950114,7.062647282
410000,-0.7797,0.60793209,39.0019,5,5,5,5,1,1,298.1793613,6.776803666
